#start	end	weight
79482	2774	1
79482	2782	1
79482	51764	1
7294	7410	1
7294	10451	1
7294	7409	1
50604	9466	1
50604	4352	1
50604	149233	1
50604	3563	1
50604	3561	1
50604	9180	1
50604	3560	1
50604	2690	1
50604	3460	1
50604	3581	1
50604	5618	1
50604	3559	1
50604	3459	1
50604	116379	1
50604	3455	1
50604	3598	1
50604	3454	1
50604	3575	1
50604	3597	1
50604	5159	1
50604	3953	1
50604	1439	1
50604	1956	1
50604	3977	1
50604	50615	1
50604	1438	1
50604	163702	1
50604	5156	1
50604	3595	1
50604	3572	1
50604	3594	1
50604	1271	1
50604	3570	1
50604	64109	1
50604	3590	1
50604	3568	1
50604	3601	1
50604	3566	1
50604	3588	1
50604	3587	1
50604	58985	1
50604	1441	1
50604	2057	1
50604	53833	1
50604	53832	1
63923	22801	1
63923	3690	1
63923	3691	1
63923	3680	1
63923	6385	1
63923	3693	1
63923	3694	1
63923	3672	1
63923	3695	1
63923	3673	1
63923	6382	1
63923	3696	1
63923	3674	1
63923	3685	1
63923	8516	1
63923	3675	1
63923	3676	1
63923	3688	1
63923	3655	1
63923	8515	1
63923	3678	1
63923	3679	1
63923	5747	1
50615	6774	1
50616	9466	1
50616	4352	1
50616	149233	1
50616	3563	1
50616	3561	1
50616	9180	1
50616	3560	1
50616	2690	1
50616	3460	1
50616	3581	1
50616	5618	1
50616	3559	1
50616	3459	1
50616	116379	1
50616	3455	1
50616	3598	1
50616	3454	1
50616	3575	1
50616	3597	1
50616	5159	1
50616	3953	1
50616	1439	1
50616	1956	1
50616	3977	1
50616	50615	1
50616	1438	1
50616	163702	1
50616	5156	1
50616	3595	1
50616	3572	1
50616	3594	1
50616	1271	1
50616	3570	1
50616	64109	1
50616	3590	1
50616	3568	1
50616	3601	1
50616	3566	1
50616	3588	1
50616	3587	1
50616	58985	1
50616	1441	1
50616	2057	1
50616	53833	1
50616	53832	1
3708	441925	-1
3708	8678	-1
3702	7410	1
3702	10451	1
3702	5335	1
3702	7409	1
258010	80700	-1
258010	55666	-1
258010	55968	-1
3716	5295	1
3716	5296	1
3716	5781	1
3716	6773	1
3716	6772	1
3716	6775	1
3716	6774	1
3716	5290	1
3716	5291	1
3716	5293	1
3716	6777	1
3716	6776	1
3716	8503	1
3716	6778	1
3717	5295	1
3717	25759	1
3717	5296	1
3717	8660	1
3717	5781	1
3717	6773	1
3717	6772	1
3717	6464	1
3717	6775	1
3717	6774	1
3717	5290	1
3717	8471	1
3717	5291	1
3717	5293	1
3717	6777	1
3717	5335	1
3717	6776	1
3717	5336	1
3717	8503	1
3717	53358	1
3717	6778	1
3717	399694	1
3717	3667	1
3717	5747	1
3718	5295	1
3718	5296	1
3718	5781	1
3718	6773	1
3718	6772	1
3718	6775	1
3718	6774	1
3718	5290	1
3718	5291	1
3718	5293	1
3718	6777	1
3718	6776	1
3718	8503	1
3718	6778	1
3714	4854	-1
3714	4855	-1
3726	1513	1
3726	3690	1
3726	3456	1
3726	4772	1
3726	799	1
3726	54	1
3727	4040	1
3727	1513	1
3727	4041	1
3727	3569	1
3727	3690	1
3727	3456	1
3727	632	1
3727	4772	1
3727	799	1
3727	54	1
3725	6351	1
3725	909	1
3725	6352	1
3725	595	1
3725	10018	1
3725	355	1
3725	356	1
3725	910	1
3725	6348	1
3725	911	1
3725	6347	1
3725	912	1
3725	913	1
3725	6349	1
3725	1513	1
3725	894	1
3725	896	1
3725	30009	1
3725	820	1
3725	7124	1
3725	4772	1
3725	2625	1
3725	1019	1
3725	3559	1
3725	3558	1
3725	3553	1
3725	799	1
3725	54	1
3725	3690	1
3725	5071	-1
3725	3569	1
3725	414062	1
3725	3567	1
3725	3566	1
3725	3565	1
3725	2919	1
3725	3606	1
3725	8739	1
3725	9560	1
3725	388372	1
3725	1437	1
3725	2921	1
3725	2920	1
